date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:16	298/298	---MCZ	200	added ('OK')	text/plain	etag:W/%221ee-k2CUAWosQG19aITj9luk9AMPZ60%22	https://www.isoftservices.io/robots.txt		(from )
23:16:18	800856/800856	---MCZ	200	added ('OK')	text/html	etag:W/%22dd3c6ac2f800bd799aba403044a93660%22	https://www.isoftservices.io/	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/index.html	(from )
23:16:18	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2017:46:18%20GMT	https://www.isoftservices.io/t	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/t.0.delayed	(from https://www.isoftservices.io/)
23:16:19	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2017:46:19%20GMT	https://www.isoftservices.io/e	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/e.1.delayed	(from https://www.isoftservices.io/)
23:16:22	715759/715759	---MCZ	200	added ('OK')	text/html	etag:W/%22ddd8acd3560df0e95622f685a5c71f01%22	https://www.isoftservices.io/manufacturing	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/manufacturing.html	(from https://www.isoftservices.io/)
23:16:25	708030/708030	---MCZ	200	added ('OK')	text/html	etag:W/%22e5ef2f118e07db7825c8c9bd607cd4b3%22	https://www.isoftservices.io/financial-services	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/financial-services.html	(from https://www.isoftservices.io/)
23:16:27	698062/698062	---MCZ	200	added ('OK')	text/html	etag:W/%22e551722f257cf808c689f0c25614b81b%22	https://www.isoftservices.io/healthcare	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/healthcare.html	(from https://www.isoftservices.io/)
23:16:29	709869/709869	---MCZ	200	added ('OK')	text/html	etag:W/%220949d7b4b3a24e00c23ad77c0fcac834%22	https://www.isoftservices.io/technology-and-software	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/technology-and-software.html	(from https://www.isoftservices.io/)
23:16:30	720971/720971	---MCZ	200	added ('OK')	text/html	etag:W/%220594cfceaf893f71bb9cb18f192edf4e%22	https://www.isoftservices.io/public-sector	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/public-sector.html	(from https://www.isoftservices.io/)
23:16:32	723567/723567	---MCZ	200	added ('OK')	text/html	etag:W/%2226da5cba96ce0bc9e825afb6ad2b00ee%22	https://www.isoftservices.io/energy	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/energy.html	(from https://www.isoftservices.io/)
23:16:32	708864/708864	---MCZ	200	added ('OK')	text/html	etag:W/%2210c92bf835f7c2722f52360babc80362%22	https://www.isoftservices.io/retail	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/retail.html	(from https://www.isoftservices.io/)
23:16:35	547444/547444	---MCZ	200	added ('OK')	text/html	etag:W/%226a7a8d82b7c4468fc65e3c0f8c20500f%22	https://www.isoftservices.io/success-stories	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/success-stories.html	(from https://www.isoftservices.io/)
23:16:37	581333/581333	---MCZ	200	added ('OK')	text/html	etag:W/%22670f39f154d2f102e05cef168a899f07%22	https://www.isoftservices.io/who-we-are	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/who-we-are.html	(from https://www.isoftservices.io/)
23:16:39	585983/585983	---MCZ	200	added ('OK')	text/html	etag:W/%222831ab8537ec45aeee28aff57d01d872%22	https://www.isoftservices.io/our-culture	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/our-culture.html	(from https://www.isoftservices.io/)
